Time(s),Temperature(C)
0.00,144.50
5.00,144.25
10.01,145.50
15.01,144.50
20.01,144.50
25.02,144.75
30.02,145.50
35.02,145.25
40.03,145.25
45.03,145.00
50.03,141.75
55.04,144.75
60.04,144.75
65.04,143.75
70.05,144.50
75.05,142.50
80.05,144.25
85.06,144.75
90.06,144.25
95.06,143.25
100.07,143.00
105.07,143.25
110.07,142.75
115.08,143.00
120.08,143.25
125.08,142.75
130.09,142.50
135.09,142.75
140.10,141.75
145.10,142.00
150.10,142.25
155.11,141.50
160.11,142.00
165.11,141.50
170.12,140.75
175.12,140.25
180.13,140.75
185.13,140.50
190.13,140.25
195.14,136.00
200.14,140.00
205.14,140.25
210.15,139.00
215.15,139.50
220.16,139.25
225.16,139.00
230.16,138.75
235.16,139.00
240.17,138.75
245.17,137.50
250.18,137.75
255.18,137.25
260.18,137.75
265.19,137.50
270.19,137.50
275.19,137.25
280.20,137.00
285.20,136.50
290.20,137.00
295.21,137.00
300.21,136.25
305.21,136.00
310.22,136.25
315.22,136.00
320.22,135.00
325.23,135.75
330.23,134.25
335.23,132.50
340.24,135.75
345.25,134.75
350.25,134.75
355.25,134.50
360.26,134.00
365.26,134.50
370.26,134.00
375.27,134.25
380.27,133.50
385.27,134.00
390.28,133.25
395.28,133.50
400.28,130.75
405.29,133.25
410.29,132.50
415.29,132.50
420.30,132.75
425.30,133.00
430.30,132.50
435.31,132.25
440.31,131.25
445.32,132.25
450.32,131.75
455.32,131.75
460.33,131.50
465.33,131.00
470.33,131.00
475.34,130.75
480.34,127.50
485.34,131.00
490.35,130.50
495.35,130.50
500.35,130.00
505.36,130.75
510.36,130.50
515.37,130.25
520.37,130.00
525.37,130.00
530.38,130.25
535.38,129.50
540.38,129.75
545.39,129.50
550.39,129.50
555.40,128.50
560.40,129.50
565.40,129.25
570.41,129.00
575.41,128.75
580.41,128.75
585.42,129.00
590.42,128.75
595.42,128.50
600.43,127.75
605.43,128.00
610.43,128.00
615.44,128.00
620.44,127.75
625.44,123.50
630.45,127.50
635.45,127.50
640.46,127.25
645.46,127.25
650.46,127.25
655.47,126.75
660.47,127.00
665.47,127.00
670.48,127.00
675.48,126.50
680.48,126.50
685.49,125.75
690.49,126.00
695.50,125.00
700.50,125.25
705.50,125.75
710.51,126.00
715.51,125.50
720.51,126.00
725.52,125.75
730.52,126.00
735.53,125.50
740.53,124.75
745.53,125.50
750.53,125.25
755.54,125.25
760.54,125.00
765.54,121.25
770.55,123.50
775.55,123.25
780.56,124.25
785.56,124.25
790.56,123.50
795.57,124.00
800.57,123.75
805.57,124.75
810.58,124.25
815.58,124.25
820.58,124.00
825.59,124.00
830.59,123.50
835.59,123.75
840.60,124.00
845.60,123.50
850.60,124.00
855.61,124.00
860.62,123.50
865.62,123.25
870.62,123.50
875.63,123.25
880.63,123.50
885.63,122.75
890.64,123.50
895.64,123.25
900.64,122.75
905.65,123.00
910.65,119.25
915.65,123.25
920.66,122.50
925.66,122.75
930.66,122.00
935.67,123.00
940.67,122.50
945.67,122.00
950.68,122.00
955.68,122.50
960.69,121.75
965.69,121.50
970.69,120.50
975.70,121.25
980.70,121.25
985.70,121.50
990.71,122.00
995.71,121.75
1000.71,121.50
1005.72,121.50
1010.72,121.25
1015.72,121.75
1020.73,121.50
1025.73,121.25
1030.74,121.50
1035.74,121.50
1040.75,121.25
1045.75,121.50
1050.75,117.00
1055.76,121.50
1060.76,121.50
1065.76,121.25
1070.77,120.25
1075.77,120.75
1080.78,121.00
1085.78,120.25
1090.78,120.50
1095.78,121.00
1100.79,119.75
1105.79,120.75
1110.80,120.75
1115.80,120.25
1120.80,120.25
1125.81,120.75
1130.81,120.50
1135.81,120.75
1140.82,120.00
1145.82,120.25
1150.82,120.00
1155.83,120.00
1160.83,120.00
1165.83,120.00
1170.84,120.00
1175.84,120.25
1180.85,120.00
1185.85,119.75
1190.86,118.25
1195.86,119.25
1200.86,119.50
1205.87,119.25
1210.87,119.75
1215.87,119.50
1220.88,119.25
1225.88,119.50
1230.89,119.50
1235.89,119.25
1240.89,119.25
1245.90,119.25
1250.90,119.25
1255.90,119.00
1260.91,119.00
1265.91,119.00
1270.91,118.75
1275.92,119.25
1280.92,117.50
1285.93,118.50
1290.93,117.00
1295.93,119.25
1300.94,118.00
1305.94,118.75
1310.94,119.25
1315.95,119.00
1320.95,119.00
1325.95,118.25
1330.96,118.75
1335.96,114.00
1340.96,119.00
1345.97,118.00
1350.97,118.25
1355.98,117.75
1360.98,118.50
1365.98,118.50
1370.99,118.75
1375.99,118.25
1381.00,118.25
1386.00,118.50
1391.00,118.75
1396.01,118.75
1401.01,118.00
1406.01,118.00
1411.02,118.50
1416.02,118.50
1421.02,118.25
1426.03,118.25
1431.03,118.00
1436.04,116.50
1441.04,116.50
1446.04,114.25
1451.05,117.25
1456.05,117.00
1461.05,117.25
1466.06,118.25
1471.06,118.00
1476.06,117.50
1481.07,113.50
1486.07,117.75
1491.07,117.50
1496.08,117.75
1501.08,117.25
1506.09,116.75
1511.09,117.25
1516.09,117.75
1521.10,117.50
1526.10,116.75
1531.11,117.50
1536.11,116.25
1541.11,117.25
1546.12,117.00
1551.12,117.00
1556.13,117.50
1561.13,117.50
1566.13,117.25
1571.14,116.25
1576.14,117.25
1581.14,117.00
1586.15,116.50
1591.15,117.00
1596.15,117.25
1601.16,115.25
1606.16,116.75
1611.17,117.25
1616.17,116.75
1621.17,116.75
1626.18,112.50
1631.18,116.50
1636.18,116.75
1641.19,116.75
1646.19,116.75
1651.21,116.75
1656.22,115.50
1661.22,116.75
1666.23,116.75
1671.23,116.75
1676.23,114.00
1681.24,116.25
1686.24,116.25
1691.24,116.00
1696.25,116.00
1701.25,115.75
1706.25,116.00
1711.26,116.00
1716.26,116.50
1721.26,116.00
1726.27,116.50
1731.27,115.75
1736.27,116.25
1741.28,115.50
1746.28,116.25
1751.28,115.75
1756.29,116.25
1761.29,116.00
1766.29,116.00
1771.30,112.25
1776.30,115.50
1781.30,115.25
1786.31,116.00
1791.31,116.00
1796.31,116.00
1801.32,116.25
1806.32,115.75
1811.32,115.50
1816.33,116.25
1821.33,115.75
1826.34,115.50
